"","Var1","Freq"
"1","Astro",72
"2","Endo",3
"3","L2/3 IT",376
"4","L5 ET",69
"5","L5 IT",471
"6","L5/6 NP",22
"7","L6 CT",162
"8","L6 IT",84
"9","L6b",12
"10","Lamp5",1574
"11","Meis2",16
"12","Micro-PVM",10
"13","Oligo",156
"14","OPC",54
"15","Peri",1
"16","Pvalb",5025
"17","Sncg",290
"18","Sst",4377
"19","Sst Chodl",134
"20","Vip",1521
"21","VLMC",9
