"","Var1","Freq"
"1","Astro",49
"2","Endo",3
"3","L2/3 IT",36
"4","L5 ET",14
"5","L5 IT",35
"6","L5/6 NP",2
"7","L6 CT",18
"8","L6 IT",12
"9","L6b",2
"10","Lamp5",647
"11","Meis2",10
"12","Micro-PVM",4
"13","Oligo",18
"14","OPC",34
"15","Pvalb",2221
"16","Sncg",130
"17","Sst",2501
"18","Sst Chodl",64
"19","Vip",515
"20","VLMC",8
