"","source","target","ligand","receptor","aggregate_rank","mean_rank","call_cellchat.pval","call_cellchat.rank","cellphonedb.pvalue","cellphonedb.rank","sca.LRscore","sca.rank","interaction"
"116","Sst","Vip","Nxph1","Nrxn2",0.00969108989291939,1784,NA,5226,0,96,0.91515410866763,30,"Sst-Vip-Nxph1-Nrxn2"
"117","Sst","Vip","Sst","Grm7",0.00969108989291939,1788.33333333333,NA,5226,0,96,0.904334669760029,43,"Sst-Vip-Sst-Grm7"
"118","Sst","Vip","Spon1","App",0.00969108989291939,1806,NA,5226,0,96,0.843247207129796,96,"Sst-Vip-Spon1-App"
"119","Sst","Vip","Cntn3","Ptprg",0.00969108989291939,1782.33333333333,NA,5226,0,96,0.918455418315469,25,"Sst-Vip-Cntn3-Ptprg"
"120","Sst","Vip","Ntng1","Lrrc4c",0.00969108989291939,1801.66666666667,NA,5226,0,96,0.85757238193814,83,"Sst-Vip-Ntng1-Lrrc4c"
"121","Sst","Vip","Fgf14","Fgfr2",0.00969108989291939,1776,NA,5226,0,96,0.946337347308734,6,"Sst-Vip-Fgf14-Fgfr2"
"122","Sst","Vip","Dscam","Dcc",0.00969108989291939,1779.33333333333,NA,5226,0,96,0.926668062802719,16,"Sst-Vip-Dscam-Dcc"
"123","Sst","Vip","Ncam1","Cacna1c",0.00969108989291939,1786,NA,5226,0,96,0.910165038101587,36,"Sst-Vip-Ncam1-Cacna1c"
"124","Sst","Vip","Fgf12","Fgfr2",0.00969108989291939,1776.66666666667,NA,5226,0,96,0.940348843016821,8,"Sst-Vip-Fgf12-Fgfr2"
"125","Sst","Vip","Cntn4","Aplp1",0.00969108989291939,1802.33333333333,NA,5226,0,96,0.856721273542054,85,"Sst-Vip-Cntn4-Aplp1"
"126","Sst","Vip","Fstl5","Chl1",0.00969108989291939,1791.33333333333,NA,5226,0,96,0.887011669744597,52,"Sst-Vip-Fstl5-Chl1"
